id,author,text,baseline_cib_heuristic,pipeline_flag,reason
X_1966060018177814651,BinaByte,@Alejandro_Pinha Toda una tragedia Iztapalapa ha sido un pueblo muy solidario y fuerte se buscan el día con día y pues prácticamente es gente sencilla y humilde en la cual me siento orgulloso pero este caso me entristece https://t.co/NuxumiVxeW,TRUE,TRUE,author_repeat=9|cosine>0.6(max=1.00)|plat_author_cluster=9
X_1966059837382402186,BinaByte,@Alejandro_Pinha https://t.co/A2QqDqPEUx,TRUE,TRUE,author_repeat=9|cosine>0.6(max=1.00)|plat_author_cluster=9
X_1966059744897954070,BinaByte,@Alejandro_Pinha Qué lamentable hecho es muy complicado la circunstancia que están pasando las familias y pues prácticamente estamos con ellos pero es impactante lo que pasó hoy,TRUE,TRUE,author_repeat=9|cosine>0.6(max=1.00)|plat_author_cluster=9
X_1965956833840886160,Alejandro_Pinha,"Nuestra solidaridad con las personas afectadas por el accidente ocurrido en la Calzada Ignacio Zaragoza.  En estos momentos tan difíciles, sabemos que la información es muy importante.   Les compartimos el listado preliminar de las personas heridas que, hasta el momento, ha difundido el Gobierno de",TRUE,TRUE,author_repeat=35|plat_author_cluster=35
X_1966060018177814651,BinaByte,@Alejandro_Pinha Toda una tragedia Iztapalapa ha sido un pueblo muy solidario y fuerte se buscan el día con día y pues prácticamente es gente sencilla y humilde en la cual me siento orgulloso pero este caso me entristece https://t.co/NuxumiVxeW,TRUE,TRUE,author_repeat=9|cosine>0.6(max=1.00)|plat_author_cluster=9
X_1966059837382402186,BinaByte,@Alejandro_Pinha https://t.co/A2QqDqPEUx,TRUE,TRUE,author_repeat=9|cosine>0.6(max=1.00)|plat_author_cluster=9
X_1966059744897954070,BinaByte,@Alejandro_Pinha Qué lamentable hecho es muy complicado la circunstancia que están pasando las familias y pues prácticamente estamos con ellos pero es impactante lo que pasó hoy,TRUE,TRUE,author_repeat=9|cosine>0.6(max=1.00)|plat_author_cluster=9
X_1954736875790573751,ROCIOZULEYMALO1,@Alejandro_Pinha @DanteDelgado Es el resultado de todo el esfuerzo que han hecho por mucho tiempo 🍊🫰🧡 la mejor alternativa que podemos tener  para un México nuevo 🍊,TRUE,TRUE,author_repeat=15|cosine>0.6(max=1.00)|plat_author_cluster=15|near_dup_peers=14
X_1954624696839987468,OscarOlveraMC,"@Alejandro_Pinha @DanteDelgado Es una realidad el crecimiento de MC a nivel nacional y en la CDMX. Es el resultado de sumar confianza de la gente con trabajo, identidad, creatividad y una absoluta perseverancia. Jefe Piña, tienes mi voto y el de miles más aquí en Xochimilco. Tu dinos que procede y a",TRUE,TRUE,author_repeat=15|cosine>0.6(max=1.00)|plat_author_cluster=15|near_dup_peers=14
X_1954601285551890660,Alejandro_Pinha,"Agradezco la distinción de Político MX, aparte de una trayectoria personal, también es testimonio del crecimiento que ha tenido nuestro movimiento a nivel nacional, con la visión de @DanteDelgado para contender, en alianza única con la ciudadanía, en el 2024, y la visibilidad que @AlvarezMaynez nos",TRUE,TRUE,author_repeat=35|plat_author_cluster=35
X_1954736875790573751,ROCIOZULEYMALO1,@Alejandro_Pinha @DanteDelgado Es el resultado de todo el esfuerzo que han hecho por mucho tiempo 🍊🫰🧡 la mejor alternativa que podemos tener  para un México nuevo 🍊,TRUE,TRUE,author_repeat=15|cosine>0.6(max=1.00)|plat_author_cluster=15|near_dup_peers=14
X_1954624696839987468,OscarOlveraMC,"@Alejandro_Pinha @DanteDelgado Es una realidad el crecimiento de MC a nivel nacional y en la CDMX. Es el resultado de sumar confianza de la gente con trabajo, identidad, creatividad y una absoluta perseverancia. Jefe Piña, tienes mi voto y el de miles más aquí en Xochimilco. Tu dinos que procede y a",TRUE,TRUE,author_repeat=15|cosine>0.6(max=1.00)|plat_author_cluster=15|near_dup_peers=14
X_1954736875790573751,ROCIOZULEYMALO1,@Alejandro_Pinha @DanteDelgado Es el resultado de todo el esfuerzo que han hecho por mucho tiempo 🍊🫰🧡 la mejor alternativa que podemos tener  para un México nuevo 🍊,TRUE,TRUE,author_repeat=15|cosine>0.6(max=1.00)|plat_author_cluster=15|near_dup_peers=14
